Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Publisher,Document Type,Access Type,Source,EID
"Demesouka O.E., Anagnostopoulos K.P., Siskos E.","55604686000;12795717400;55776658700;","Spatial multicriteria decision support for robust land-use suitability: The case of landfill site selection in Northeastern Greece",2019,"European Journal of Operational Research","272","2",,"574","586",,1,"10.1016/j.ejor.2018.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052730875&doi=10.1016%2fj.ejor.2018.07.005&partnerID=40&md5=0623defbbe8bee5e3d00cd8a866ea40a","Geographical information systems; Land-Use suitability analysis; Multiple criteria decision analysis; Robustness analysis; UTASTAR method","Artificial intelligence; Decision making; Decision theory; Geographic information systems; Information systems; Information use; Land fill; Land use; Municipal solid waste; Operations research; Site selection; Stochastic systems; Land use suitability; Multi-criteria Spatial Decision Support Systems; Multicriteria decision support; Multiple criteria decision aid; Multiple criteria decision analysis; Municipal solid waste landfills; Robustness analysis; UTASTAR method; Decision support systems","Elsevier B.V.",Article,,Scopus,2-s2.0-85052730875
"Soroudi M., Omrani G., Moataar F., Jozi S.A.","57189994883;24339000400;57200391304;36084549700;","A comprehensive multi-criteria decision making-based land capability assessment for municipal solid waste landfill sitting",2018,"Environmental Science and Pollution Research","25","28",,"27877","27889",,,"10.1007/s11356-018-2765-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050952270&doi=10.1007%2fs11356-018-2765-9&partnerID=40&md5=8f8cb7adc9a1bbca962cbf2511da63da","ANP; Boolean logic; DEMATEL; Fuzzy logic; Site selection; Waste management; WLC","assessment method; decision making; developing world; fuzzy mathematics; landfill; multicriteria analysis; multiculturalism; municipal solid waste; site selection; soil depth; strategic approach; waste management; Iran","Springer Verlag",Article,,Scopus,2-s2.0-85050952270
"Adeyemi G.A., Markus M., Gbolahan O.G., Edeki S.O.","57196394973;57203723795;57203723111;56181582400;","Landfill site selection in ado-odo ota LGA using geographic information systems",2018,"International Journal of Civil Engineering and Technology","9","8",,"1434","1445",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052755140&partnerID=40&md5=857da58825779845c556c62c2da66121","Decomposition Method; Geographic Information System; Landfill; Solid Waste Management",,"IAEME Publication",Article,,Scopus,2-s2.0-85052755140
"Kursah M.B.","56291856300;","Resolving the landfill siting impasse: modelling technocratic and indigenous perspectives using GIS multicriteria approach",2018,"GeoJournal","83","4",,"707","724",,,"10.1007/s10708-017-9796-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024472370&doi=10.1007%2fs10708-017-9796-5&partnerID=40&md5=a98f45da72f2268d5a4b823e397d66ef","GIS; Infrastructural planning; Landfill site; Multicriteria analysis; Weighted overlay","Developing countries; Environmental impact; Environmental impact assessments; Geographic information systems; Site selection; Sustainable development; Waste treatment; Environmental impact assessments (EIA); Environmental sustainability; Landfill site; Landfill site selection; Management method; Multi Criteria Analysis; Multi-criteria approach; Weighted overlay; Land fill; environmental impact assessment; GIS; infrastructure planning; landfill; modeling; multicriteria analysis; recycling; site selection; stakeholder; sustainability; waste management; Bongo; Ghana; Upper East Region; Tragelaphus eurycerus","Springer Netherlands",Article,,Scopus,2-s2.0-85024472370
"Ait Errouhi A., Bahi L., Ouadif L., Akhssas A., Bouroumine Y.","57200790107;6602288439;56208620700;57192821743;57200793002;","Landfill site selection using ahp & topsis: A case study, oum azza, Morocco",2018,"International Journal of Civil Engineering and Technology","9","7",,"623","632",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051961450&partnerID=40&md5=04cdc3d24887148a785a980ce977ed14","AHP; Environment Management; GIS; Landfill; TOPSIS",,"IAEME Publication",Article,,Scopus,2-s2.0-85051961450
"Aderoju O.M., Dias G.A., Gonçalves A.J.","57003639500;57200278691;57202727028;","A GIS-based analysis for sanitary landfill sites in Abuja, Nigeria",2018,"Environment, Development and Sustainability",,,,"1","24",,,"10.1007/s10668-018-0206-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049140323&doi=10.1007%2fs10668-018-0206-z&partnerID=40&md5=abb2b500eee2e329fdc87edec07023ca","Dumpsite; GIS; Multi-criteria evaluation; Municipal solid waste; Sanitary landfill",,"Springer Netherlands",Article in Press,,Scopus,2-s2.0-85049140323
"Yildirim V., Memisoglu T., Bediroglu S., Colak H.E.","36786549700;56662132900;57126243000;56954769600;","Municipal solid waste landfill site selection using multi-criteria decision making and gis: Case study of Bursa province",2018,"Journal of Environmental Engineering and Landscape Management","26","2",,"107","119",,,"10.3846/16486897.2017.1364646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049539252&doi=10.3846%2f16486897.2017.1364646&partnerID=40&md5=bdff0574fa5c4a550fb75f8063919162","Bursa; GIS; Landfill; MCDM; Solid waste; TOPSIS","Decision making; Developing countries; Geographic information systems; Global warming; Land fill; Population statistics; Site selection; Solid wastes; Water resources; Bursa; Evaluation and analysis; Landfill site selection; MCDM; Multi-criteria decision making; Municipal solid waste landfills; Rapid population growth; TOPSIS; Municipal solid waste","VGTU",Article,Open Access,Scopus,2-s2.0-85049539252
"Yousefi H., Javadzadeh Z., Noorollahi Y., Yousefi-Sahzabi A.","57192403998;57201496181;16550643300;36449473300;","Landfill site selection using a multi-criteria decision-making method: A case study of the salafcheghan special economic zone, Iran",2018,"Sustainability (Switzerland)","10","4", 1107,"","",,1,"10.3390/su10041107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045099981&doi=10.3390%2fsu10041107&partnerID=40&md5=63b3f8fb1e2c24d109b6916ef8743f72","Analytical hierarchy process (AHP); Geographical information system (GIS); Index overlay; Industrial waste; Site selection","analytical hierarchy process; environmental impact assessment; Exclusive Economic Zone; expert system; GIS; index method; landfill; multicriteria analysis; site selection; waste disposal; waste management; Iran","MDPI AG",Article,Open Access,Scopus,2-s2.0-85045099981
"Al-Anbari M.A., Thameer M.Y., Al-Ansari N.","57201398434;57201391461;51664437800;","Landfill site selection by weighted overlay technique: Case study of Al-Kufa, Iraq",2018,"Sustainability (Switzerland)","10","4", 999,"","",,1,"10.3390/su10040999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044586167&doi=10.3390%2fsu10040999&partnerID=40&md5=26c3aa8db6a393229951a4bd726062d7","AHP; GIS; Kufa city; Landfill; MCDA; Site selection",,"MDPI AG",Article,Open Access,Scopus,2-s2.0-85044586167
"Ibrahim Mohammed H., Majid Z., Bin Yusof N., Bello Yamusa Y.","57202280781;9247739400;56548386600;57202284775;","Analysis of Multi-Criteria Evaluation Method of Landfill Site Selection for Municipal Solid Waste Management",2018,"E3S Web of Conferences","34",, 02010,"","",,,"10.1051/e3sconf/20183402010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047769801&doi=10.1051%2fe3sconf%2f20183402010&partnerID=40&md5=1f7ed1fad11360d74b12e1468042951e",,"Decision making; Developing countries; Health hazards; Land fill; Municipal solid waste; Public health; Conflicting objectives; Decision maker preferences; Decision models; Landfill site selection; Literature reviews; Multi-criteria evaluation; Rules and regulations; Socio-economics; Site selection","EDP Sciences",Conference Paper,Open Access,Scopus,2-s2.0-85047769801
